               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11746,             0.02461,                   0,           8.658e-05,            0.017544,          4.4427e-05,          8.8854e-06,             0.11404,            0.017948,                   0,            0.070811,           0.0032432,           0.0032432
                   1,             0.11335,            0.024202,                   0,          4.5045e-05,           0.0087719,          2.2783e-05,          4.5567e-06,             0.11334,            0.017817,                   0,            0.040746,           0.0065115,           0.0065115
                   2,             0.10834,            0.024075,                   0,          0.00013699,            0.026316,          7.5391e-05,            1.26e-05,             0.11201,            0.017616,                   0,            0.010615,           0.0097137,           0.0097137
                   3,             0.10675,            0.023141,                   0,             0.00101,           0.0087719,          0.00012705,          2.2873e-05,              0.1388,            0.024316,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.10515,            0.023158,                   0,                   0,                   0,                   0,                   0,              0.1435,            0.053753,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.10323,            0.022076,                   0,           8.357e-05,            0.017544,          4.4214e-05,          8.6847e-06,             0.14201,            0.021455,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.10004,            0.022267,                   0,          8.4438e-05,            0.017544,          4.8338e-05,          7.2791e-06,             0.13505,           0.0066837,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.097729,            0.020573,                   0,          0.00020833,             0.04386,          0.00014657,          4.1255e-05,             0.12817,           0.0094414,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.095729,            0.019876,                   0,          0.00033333,            0.070175,          0.00021241,           4.425e-05,             0.11288,            0.011581,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.093046,             0.02049,                   0,            0.000375,            0.078947,          0.00028174,          6.2593e-05,              0.1141,            0.010575,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.091905,            0.019189,                   0,              0.0005,             0.10526,          0.00080633,          0.00019677,             0.10356,            0.012521,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.092389,            0.019366,                   0,          0.00050075,             0.10526,          0.00033958,          9.5432e-05,            0.098478,            0.012498,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.090358,            0.018975,                   0,              0.0005,             0.10526,           0.0017373,          0.00030202,            0.095613,            0.013371,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.086062,            0.020666,                   0,             0.00075,             0.15789,           0.0013894,          0.00033286,            0.092468,            0.013369,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.084424,            0.019851,                   0,          0.00091667,             0.19298,           0.0021632,          0.00051168,             0.09303,            0.013147,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.08278,            0.019387,                   0,          0.00083333,             0.17544,           0.0074087,           0.0016108,            0.091982,            0.013193,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.080701,             0.01996,                   0,             0.00075,             0.15789,           0.0041634,          0.00053423,             0.09617,            0.013505,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.078163,            0.019074,                   0,          0.00079167,             0.16667,           0.0024594,          0.00061463,            0.095729,            0.013773,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.077642,            0.019684,                   0,           0.0010833,             0.22807,           0.0053446,           0.0015454,             0.09559,            0.014424,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.079102,            0.019496,                   0,            0.001125,             0.23684,            0.022397,           0.0038612,            0.091835,            0.013502,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.076623,            0.018791,                   0,            0.001188,             0.24561,            0.016715,           0.0054411,            0.090176,             0.01375,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.078307,            0.018841,                   0,           0.0015512,             0.19298,           0.0039328,          0.00098947,            0.096475,            0.014737,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.072526,            0.020322,                   0,             0.10289,             0.14912,            0.024231,           0.0075634,            0.090887,            0.013267,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.075662,            0.018785,                   0,            0.074174,            0.078947,            0.016432,           0.0028504,            0.093227,            0.014338,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.071975,            0.018407,                   0,             0.15267,              0.1391,            0.030763,           0.0085929,            0.089692,            0.014153,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.072745,            0.018251,                   0,             0.10917,             0.11404,            0.025419,           0.0079005,            0.089841,            0.014013,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.072802,            0.017792,                   0,             0.12777,             0.13158,            0.037175,            0.011392,             0.08672,            0.014612,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.072738,            0.018859,                   0,              0.2141,            0.078947,            0.051954,             0.01331,            0.089069,            0.013525,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.072873,            0.017918,                   0,             0.13255,            0.087719,            0.029614,           0.0095477,            0.091763,            0.013936,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.071753,              0.0171,                   0,             0.16583,            0.096491,            0.065439,            0.016567,            0.085461,            0.013933,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.070448,            0.016739,                   0,             0.23523,            0.099874,            0.095183,            0.029289,            0.084675,            0.013877,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.069739,            0.016589,                   0,             0.17018,            0.070175,            0.035507,            0.012717,            0.092163,            0.013865,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.067992,            0.017369,                   0,               0.249,             0.11404,            0.087112,            0.034679,            0.081504,            0.013821,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.067294,            0.016815,                   0,             0.21437,             0.12281,            0.071869,            0.030145,            0.083261,            0.014606,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.069937,            0.017116,                   0,             0.26578,             0.12705,            0.096149,            0.032174,             0.08628,             0.01392,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.065583,             0.01681,                   0,             0.16079,             0.11404,            0.056878,            0.015738,            0.083712,            0.014056,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.067803,            0.016836,                   0,             0.20121,             0.14035,            0.090497,            0.028173,            0.081423,             0.01436,                   0,            0.006535,            0.006535,            0.006535
                  37,             0.06718,             0.01742,                   0,             0.21459,             0.13158,            0.073605,            0.030415,            0.080401,            0.014363,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.065626,            0.016597,                   0,             0.13233,             0.14912,            0.048466,            0.019771,            0.084199,            0.015406,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.064243,            0.016075,                   0,             0.26492,             0.11404,            0.093287,            0.034854,            0.083691,             0.01403,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.063769,            0.016861,                   0,             0.11914,            0.087719,            0.028315,           0.0088427,            0.089454,             0.01524,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.063254,            0.016092,                   0,             0.20493,             0.12281,            0.050315,            0.015617,            0.081594,             0.01447,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.065214,            0.016465,                   0,             0.13733,             0.14035,            0.057234,            0.023838,            0.078208,            0.014072,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.062396,            0.015411,                   0,             0.10907,            0.087719,             0.05015,            0.021821,            0.085323,            0.015286,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.062873,             0.01658,                   0,             0.34001,             0.17544,             0.12636,            0.053739,            0.077162,            0.014006,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.061656,            0.016771,                   0,              0.2245,             0.15789,             0.12293,            0.046694,            0.077725,            0.013085,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.061858,            0.015819,                   0,             0.22231,             0.14912,             0.11376,            0.040114,            0.078945,            0.013771,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.062253,            0.016574,                   0,             0.33108,             0.16667,             0.14549,            0.052446,            0.074737,            0.013642,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.061226,            0.016638,                   0,             0.27143,             0.19298,             0.13553,            0.040583,            0.076393,            0.013742,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.060744,            0.016727,                   0,             0.22313,             0.16667,             0.11802,            0.037089,            0.075042,            0.014917,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.063465,            0.016251,                   0,             0.40591,             0.15789,             0.14585,            0.051591,            0.075893,            0.013805,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.059403,            0.015848,                   0,             0.35174,             0.14035,             0.14806,            0.030413,             0.07462,            0.013434,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.060646,            0.015327,                   0,             0.49677,             0.14035,              0.1573,            0.061293,            0.072813,            0.013505,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.058436,            0.015698,                   0,             0.31433,             0.17544,             0.14886,            0.055737,            0.078745,            0.013443,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.059543,            0.014679,                   0,             0.38755,             0.17544,             0.15022,             0.06355,            0.071879,            0.013272,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.057592,            0.015031,                   0,              0.3737,             0.20175,             0.19431,            0.082559,            0.071415,            0.013123,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.057999,             0.01543,                   0,             0.39256,             0.19298,             0.17283,            0.070959,            0.071499,            0.013208,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.054872,             0.01624,                   0,             0.35965,             0.18421,             0.19099,            0.072761,            0.069864,            0.013006,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.056072,            0.014842,                   0,             0.42126,             0.14035,             0.15427,            0.065658,            0.073597,            0.013617,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.056659,            0.015223,                   0,             0.49159,             0.16667,             0.18104,            0.064511,            0.069746,             0.01313,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.056742,             0.01508,                   0,             0.36872,             0.18421,             0.20228,            0.073108,            0.069534,            0.012902,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.054726,            0.015017,                   0,             0.49606,             0.15789,             0.17993,            0.066021,            0.073693,            0.012692,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.053924,            0.014652,                   0,             0.32429,             0.18421,               0.203,             0.06441,            0.071767,             0.01276,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.05374,            0.014865,                   0,             0.43299,             0.16667,             0.20764,            0.079484,            0.068849,            0.012457,                   0,            0.003862,            0.003862,            0.003862
                  64,              0.0565,             0.01428,                   0,              0.3092,             0.20175,             0.22479,             0.07952,             0.06868,            0.012252,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.056866,            0.014806,                   0,             0.38556,             0.15417,             0.18486,            0.069479,             0.07143,            0.012657,                   0,            0.003664,            0.003664,            0.003664
                  66,             0.05453,            0.014761,                   0,              0.2733,              0.2807,             0.23179,            0.072637,            0.072195,            0.011833,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.055421,            0.014291,                   0,             0.32283,             0.24257,             0.24036,            0.085875,            0.069155,            0.011938,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.053917,            0.014507,                   0,             0.32594,             0.24561,             0.25109,            0.095524,            0.068569,            0.012121,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.053548,            0.014094,                   0,             0.40914,              0.2193,             0.24664,            0.095902,            0.070041,            0.011977,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.051139,            0.014422,                   0,             0.39946,             0.26316,             0.27465,            0.099576,              0.0688,             0.01195,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.05404,            0.014008,                   0,             0.35389,             0.30702,             0.25766,            0.092374,            0.069593,            0.012395,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.051654,            0.014185,                   0,             0.31412,             0.22807,             0.23293,            0.086791,            0.069477,            0.012171,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.053418,            0.014649,                   0,             0.35371,             0.26406,             0.27159,             0.10212,            0.067094,            0.011853,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.051331,            0.014293,                   0,              0.6653,              0.2193,             0.29644,             0.11931,            0.065666,            0.011943,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.050411,            0.013981,                   0,             0.27808,             0.30702,             0.22293,            0.086406,            0.066821,            0.012322,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.051559,            0.014222,                   0,             0.42155,             0.32456,              0.3007,             0.11389,            0.068372,            0.011647,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.050474,            0.014269,                   0,             0.45994,             0.34211,              0.3268,             0.12552,            0.066236,            0.011386,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.050687,            0.014157,                   0,             0.33898,             0.32456,             0.30033,             0.12433,            0.064902,            0.011897,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.050023,            0.012657,                   0,             0.30776,             0.27193,             0.27286,               0.102,            0.064476,             0.01229,                   0,            0.002278,            0.002278,            0.002278
                  80,              0.0508,             0.01365,                   0,             0.37798,             0.31579,             0.30751,             0.13179,            0.064491,            0.011401,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.051072,            0.013491,                   0,             0.50774,             0.30702,             0.34103,             0.15027,            0.064825,            0.011192,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.050142,            0.014062,                   0,             0.50035,             0.36842,             0.38876,             0.13122,            0.065367,            0.010883,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.050215,             0.01421,                   0,             0.62222,             0.28897,             0.33531,             0.13035,            0.064544,            0.011162,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.050154,            0.014096,                   0,             0.46046,             0.38596,             0.37511,             0.13383,            0.064614,             0.01087,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.048551,            0.013137,                   0,             0.48731,             0.28947,             0.32987,             0.14698,            0.063769,            0.011184,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.048838,            0.013323,                   0,             0.45745,             0.29825,             0.33235,             0.14608,            0.063323,            0.011202,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.048627,            0.013485,                   0,              0.4603,             0.37719,              0.3513,             0.13281,            0.063242,            0.010752,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.049951,            0.013635,                   0,             0.54782,             0.31885,             0.35233,              0.1461,            0.062274,            0.011197,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.048526,            0.013847,                   0,              0.4665,             0.36842,             0.36209,             0.14721,            0.063528,            0.010838,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.04841,            0.014005,                   0,             0.49314,             0.33285,             0.36977,              0.1401,            0.064487,            0.011655,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.047501,            0.012679,                   0,             0.58442,             0.30702,             0.36185,             0.15366,            0.062376,             0.01105,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.048661,            0.013398,                   0,             0.44603,             0.38596,             0.36763,             0.14728,            0.061995,            0.010726,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.04735,            0.013088,                   0,             0.55185,             0.32406,             0.36064,              0.1507,            0.062512,            0.010876,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.046425,            0.013945,                   0,             0.52961,             0.34211,             0.37553,             0.15507,            0.062863,            0.010846,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.046783,             0.01367,                   0,             0.38771,             0.41228,              0.3667,             0.14873,            0.063319,            0.010617,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.049021,            0.013204,                   0,             0.44336,             0.40524,             0.37465,             0.14747,            0.063042,            0.010723,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.048665,            0.013432,                   0,             0.45016,             0.37347,             0.36628,             0.15022,            0.062273,            0.010815,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.046476,            0.013396,                   0,             0.49314,             0.37719,             0.36473,              0.1509,            0.062444,            0.010754,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.046964,            0.013853,                   0,             0.48143,             0.38596,             0.37961,             0.16092,            0.061582,            0.010849,                   0,            0.000298,            0.000298,            0.000298
